id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,text_to_embed
27152,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Mark Taylor Men Striped Blue Shirt,productDisplayName: Mark Taylor Men Striped Blue Shirt | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2012 | usage: Formal
10469,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Flying Machine Men Yellow Polo Tshirts,productDisplayName: Flying Machine Men Yellow Polo Tshirts | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Yellow | gender: Men | season: Fall | year: 2011 | usage: Casual
17169,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,U.S. Polo Assn. Men Checks Maroon Shirt,productDisplayName: U.S. Polo Assn. Men Checks Maroon Shirt | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Maroon | gender: Men | season: Fall | year: 2011 | usage: Casual
56702,Men,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Fabindia Men Blue Kurta,productDisplayName: Fabindia Men Blue Kurta | articleType: Kurtas | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Men | season: Summer | year: 2012 | usage: Ethnic
47062,Women,Apparel,Bottomwear,Patiala,Multi,Fall,2012.0,Ethnic,Shree Women Multi Colored Patiala,productDisplayName: Shree Women Multi Colored Patiala | articleType: Patiala | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Multi | gender: Women | season: Fall | year: 2012 | usage: Ethnic
16035,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Highlander Men Check White Shirt,productDisplayName: Highlander Men Check White Shirt | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: White | gender: Men | season: Fall | year: 2011 | usage: Casual
49783,Women,Apparel,Loungewear and Nightwear,Night suits,Grey Melange,Summer,2012.0,Casual,Little Miss Intimates Grey & Black Pyjama Set,productDisplayName: Little Miss Intimates Grey & Black Pyjama Set | articleType: Night suits | subCategory: Loungewear and Nightwear | masterCategory: Apparel | baseColour: Grey Melange | gender: Women | season: Summer | year: 2012 | usage: Casual
2265,Women,Apparel,Topwear,Tshirts,Orange,Fall,2010.0,Sports,Nike Womens NIKE MILER SS TOP T-shirt,productDisplayName: Nike Womens NIKE MILER SS TOP T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Orange | gender: Women | season: Fall | year: 2010 | usage: Sports
18578,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Puma Women Black Sweatshirt,productDisplayName: Puma Women Black Sweatshirt | articleType: Sweatshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Black | gender: Women | season: Fall | year: 2011 | usage: Casual
3071,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Tantra Women's Shlokas Blue T-shirt,productDisplayName: Tantra Women's Shlokas Blue T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Blue | gender: Women | season: Summer | year: 2011 | usage: Casual
42020,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012.0,Casual,ADIDAS Men Brown Mudslide Shoes,productDisplayName: ADIDAS Men Brown Mudslide Shoes | articleType: Casual Shoes | subCategory: Shoes | masterCategory: Footwear | baseColour: Brown | gender: Men | season: Summer | year: 2012 | usage: Casual
7069,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Timberland Men's Wild Cats Cycle Grey T-shirt,productDisplayName: Timberland Men's Wild Cats Cycle Grey T-shirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Grey | gender: Men | season: Summer | year: 2011 | usage: Casual
11304,Women,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Wrangler Women Blue Custom Jeans,productDisplayName: Wrangler Women Blue Custom Jeans | articleType: Jeans | subCategory: Bottomwear | masterCategory: Apparel | baseColour: Blue | gender: Women | season: Fall | year: 2011 | usage: Casual
16491,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Locomotive Men Printed Grey TShirt,productDisplayName: Locomotive Men Printed Grey TShirt | articleType: Tshirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Grey | gender: Men | season: Fall | year: 2011 | usage: Casual
14041,Men,Apparel,Topwear,Shirts,Brown,Winter,2016.0,Casual,Flying Machine Men Check Brown Shirts,productDisplayName: Flying Machine Men Check Brown Shirts | articleType: Shirts | subCategory: Topwear | masterCategory: Apparel | baseColour: Brown | gender: Men | season: Winter | year: 2016 | usage: Casual
14372,Women,Footwear,Shoes,Heels,Green,Winter,2015.0,Casual,Catwalk Women Casual Green Flats,productDisplayName: Catwalk Women Casual Green Flats | articleType: Heels | subCategory: Shoes | masterCategory: Footwear | baseColour: Green | gender: Women | season: Winter | year: 2015 | usage: Casual
